Person,M00,M01,M02,M10,M11,M12,M20,M21,M22
8,194310,52530510,14205375780,20574930,5562925215,572484854003,2226156120,601917251805,-16225019807
8,201705,54481260,14720134080,21579120,5829226560,540052723604,2360396790,637637688780,-38277229756
8,206295,55641000,15012244740,22123035,5967345525,575036459459,2424158265,653878883835,-20889236143
8,211140,56866785,15321396285,22578975,6082043250,603778162004,2467167585,664616806080,-7719650326
8,210885,56726790,15264658020,22428270,6033860745,648901981033,2436264390,655469524365,-28929334631
9,293760,46238130,7287462930,25678755,4038709125,636009024435,2333910195,366785156565,454386363
9,299880,47173980,7430755080,26394540,4148120190,652753382430,2417560140,379550294130,-7998527238
9,305745,48033075,7555932285,27210285,4269869940,670882353450,2524442115,395658278970,-9771235528
9,308040,48351060,7599370770,27542040,4317717375,677748985545,2568140190,402058911315,-15247248547
9,310335,48657315,7639220385,28005375,4385382645,687606679155,2635545615,412129314195,-9880563011
9,309060,48451020,7605744240,27911280,4371655230,685598782890,2625795180,410863069620,-1964681612
9,310080,48565005,7616522835,27994665,4382246655,686875657905,2633120055,411936893235,52352797
9,307530,48125640,7541313390,27677190,4330317945,678381984285,2596068300,406048313895,3264214951
9,321300,50201595,7855003425,28895580,4514798715,706388024835,2707449240,422986649625,5279331705
9,330990,51651780,8072595180,29850810,4658885955,728182561695,2804986740,437803510815,3197971199
9,320280,67922565,14417046435,27458655,5815648320,1232841517080,2468453805,522034028340,-7476759860
9,327420,69252900,14659854120,28231815,5965633965,1261654069845,2552633385,538770665955,12508884519
9,330480,69700680,14712151560,28488600,6004675485,1266654938595,2578453410,543016301715,14764178321
9,337365,70874445,14901635685,29057760,6102381540,1282601672400,2628129450,551635950690,14922930278
9,348075,72780060,15231335130,29943630,6259147380,1309518852240,2704620270,565098042780,19296286080
9,354195,73803120,15392707800,30234585,6298871025,1313494783425,2709624645,564322633425,15320276989
9,362355,75339750,15678855030,30856020,6415758435,1335207817185,2768999610,575678789655,19304356709
9,367200,76132290,15799583250,31139070,6456913905,1340115198345,2786223330,577753715985,17872220581
9,375615,77648775,16066688355,31910445,6598090320,1365475624350,2871285465,593772518910,15108305996
9,372555,76811355,15851821785,31521315,6500417670,1341755358090,2825191665,582709362780,27652232180
9,299625,79150980,20919378900,30885855,8158293540,1305597633402,3276198945,865257638550,-22263460636
9,310080,81634170,21501953430,32140200,8460664125,1300533596289,3433019100,903583389615,-25064220369
9,327930,86023485,22576149855,34614465,9077163090,1204593462896,3778339335,990419394630,-25222019444
9,343485,89753370,23463845910,36668490,9577373895,1175521553421,4051494570,1057656812115,-12640964863
9,341190,88775700,23111243640,36476220,9484945065,1230768273207,4039422360,1049589596925,-5139775449
9,343485,88948335,23047740735,36966585,9565100490,1278225867276,4122228765,1065600284220,-21725176782
9,347565,89604450,23116692480,37696650,9708308490,1338189048434,4233283560,1088881999440,-32712996036
9,340680,87447915,22462920165,37095360,9512423610,1436168712096,4177718040,1070016890340,-36918576526
9,344505,88090515,22540443225,37783350,9654827340,1378014964516,4286767260,1094458146150,-15197872334
9,347055,88347045,22504958955,38015655,9673808010,1389695234930,4307360295,1095482136390,-30609270170
